code,category,value
E12000001,N/A,0
E12000001,ABBangladeshi,16355
E12000001,ABChinese,14442
E12000001,ABIndian,22021
E12000001,ABPakistani,27290
E12000001,ABAsian,17938
E12000001,BBAfrican,22066
E12000001,BBCaribbean,1704
E12000001,BBBlack,2865
E12000001,whiteAndAsian,12490
E12000001,whiteAndBlackAfrican,6527
E12000001,whiteAndBlackCaribbean,5650
E12000001,multiple,8604
E12000001,wBritish,2397557
E12000001,wIrish,8384
E12000001,wTraveller,2621
E12000001,wRoma,2375
E12000001,wOther,51783
E12000001,arab,10406
E12000001,other,15936
E12000002,N/A,0
E12000002,ABBangladeshi,60859
E12000002,ABChinese,54051
E12000002,ABIndian,140413
E12000002,ABPakistani,303611
E12000002,ABAsian,63751
E12000002,BBAfrican,126608
E12000002,BBCaribbean,25919
E12000002,BBBlack,21391
E12000002,whiteAndAsian,47829
E12000002,whiteAndBlackAfrican,30011
E12000002,whiteAndBlackCaribbean,46962
E12000002,multiple,38443
E12000002,wBritish,6019385
E12000002,wIrish,61422
E12000002,wTraveller,5741
E12000002,wRoma,7359
E12000002,wOther,253487
E12000002,arab,43865
E12000002,other,66291
E12000003,N/A,0
E12000003,ABBangladeshi,29018
E12000003,ABChinese,29589
E12000003,ABIndian,81322
E12000003,ABPakistani,296437
E12000003,ABAsian,50689
E12000003,BBAfrican,80907
E12000003,BBCaribbean,22736
E12000003,BBBlack,14000
E12000003,whiteAndAsian,36888
E12000003,whiteAndBlackAfrican,15644
E12000003,whiteAndBlackCaribbean,39296
E12000003,multiple,25189
E12000003,wBritish,4431265
E12000003,wIrish,25215
E12000003,wTraveller,5891
E12000003,wRoma,9464
E12000003,wOther,208130
E12000003,arab,25474
E12000003,other,53620
E12000004,N/A,0
E12000004,ABBangladeshi,20980
E12000004,ABChinese,22973
E12000004,ABIndian,229831
E12000004,ABPakistani,71038
E12000004,ABAsian,46281
E12000004,BBAfrican,83161
E12000004,BBCaribbean,30828
E12000004,BBBlack,15997
E12000004,whiteAndAsian,30803
E12000004,whiteAndBlackAfrican,14341
E12000004,whiteAndBlackCaribbean,46400
E12000004,multiple,25703
E12000004,wBritish,3882390
E12000004,wIrish,27130
