code,Ethnicity,Population
North East,N/A,0
North East,ABBangladeshi,16355
North East,ABChinese,14442
North East,ABIndian,22021
North East,ABPakistani,27290
North East,ABAsian,17938
North East,BBAfrican,22066
North East,BBCaribbean,1704
North East,BBBlack,2865
North East,whiteAndAsian,12490
North East,whiteAndBlackAfrican,6527
North East,whiteAndBlackCaribbean,5650
North East,multiple,8604
North East,wBritish,2397557
North East,wIrish,8384
North East,wTraveller,2621
North East,wRoma,2375
North East,wOther,51783
North East,arab,10406
North East,other,15936
North West,N/A,0
North West,ABBangladeshi,60859
North West,ABChinese,54051
North West,ABIndian,140413
North West,ABPakistani,303611
North West,ABAsian,63751
North West,BBAfrican,126608
North West,BBCaribbean,25919
North West,BBBlack,21391
North West,whiteAndAsian,47829
North West,whiteAndBlackAfrican,30011
North West,whiteAndBlackCaribbean,46962
North West,multiple,38443
North West,wBritish,6019385
North West,wIrish,61422
North West,wTraveller,5741
North West,wRoma,7359
North West,wOther,253487
North West,arab,43865
North West,other,66291
Yorkshire and The Humber,N/A,0
Yorkshire and The Humber,ABBangladeshi,29018
Yorkshire and The Humber,ABChinese,29589
Yorkshire and The Humber,ABIndian,81322
Yorkshire and The Humber,ABPakistani,296437
Yorkshire and The Humber,ABAsian,50689
Yorkshire and The Humber,BBAfrican,80907
Yorkshire and The Humber,BBCaribbean,22736
Yorkshire and The Humber,BBBlack,14000
Yorkshire and The Humber,whiteAndAsian,36888
Yorkshire and The Humber,whiteAndBlackAfrican,15644
Yorkshire and The Humber,whiteAndBlackCaribbean,39296
Yorkshire and The Humber,multiple,25189
Yorkshire and The Humber,wBritish,4431265
Yorkshire and The Humber,wIrish,25215
Yorkshire and The Humber,wTraveller,5891
Yorkshire and The Humber,wRoma,9464
Yorkshire and The Humber,wOther,208130
Yorkshire and The Humber,arab,25474
Yorkshire and The Humber,other,53620
East Midlands,N/A,0
East Midlands,ABBangladeshi,20980
East Midlands,ABChinese,22973
East Midlands,ABIndian,229831
East Midlands,ABPakistani,71038
East Midlands,ABAsian,46281
East Midlands,BBAfrican,83161
East Midlands,BBCaribbean,30828
