code,category,value
E12000001,-8,0
E12000001,1,16355
E12000001,2,14442
E12000001,3,22021
E12000001,4,27290
E12000001,5,17938
E12000001,6,22066
E12000001,7,1704
E12000001,8,2865
E12000001,9,12490
E12000001,10,6527
E12000001,11,5650
E12000001,12,8604
E12000001,13,2397557
E12000001,14,8384
E12000001,15,2621
E12000001,16,2375
E12000001,17,51783
E12000001,18,10406
E12000001,19,15936
E12000002,-8,0
E12000002,1,60859
E12000002,2,54051
E12000002,3,140413
E12000002,4,303611
E12000002,5,63751
E12000002,6,126608
E12000002,7,25919
E12000002,8,21391
E12000002,9,47829
E12000002,10,30011
E12000002,11,46962
E12000002,12,38443
E12000002,13,6019385
E12000002,14,61422
E12000002,15,5741
E12000002,16,7359
E12000002,17,253487
E12000002,18,43865
E12000002,19,66291
E12000003,-8,0
E12000003,1,29018
E12000003,2,29589
E12000003,3,81322
E12000003,4,296437
E12000003,5,50689
E12000003,6,80907
E12000003,7,22736
E12000003,8,14000
E12000003,9,36888
E12000003,10,15644
E12000003,11,39296
E12000003,12,25189
E12000003,13,4431265
E12000003,14,25215
E12000003,15,5891
E12000003,16,9464
E12000003,17,208130
E12000003,18,25474
E12000003,19,53620
E12000004,-8,0
E12000004,1,20980
E12000004,2,22973
E12000004,3,229831
E12000004,4,71038
E12000004,5,46281
E12000004,6,83161
E12000004,7,30828
E12000004,8,15997
E12000004,9,30803
E12000004,10,14341
E12000004,11,46400
E12000004,12,25703
E12000004,13,3882390
E12000004,14,27130
E12000004,15,4620
E12000004,16,7196
E12000004,17,258438
E12000004,18,13360
E12000004,19,48584
E12000005,-8,0
E12000005,1,77518
E12000005,2,33301
E12000005,3,276030
E12000005,4,319165
E12000005,5,88250
E12000005,6,146089
E12000005,7,90192
E12000005,8,32738
E12000005,9,46478
E12000005,10,16011
E12000005,11,81193
E12000005,12,34542
E12000005,13,4275557
E12000005,14,47886
E12000005,15,6207
E12000005,16,6809
E12000005,17,248565
E12000005,18,31790
E12000005,19,92436
E12000006,-8,0
E12000006,1,50685
E12000006,2,38444
E12000006,3,136974
E12000006,4,99452
E12000006,5,80314
E12000006,6,118731
E12000006,7,41884
E12000006,8,24334
E12000006,9,51448
E12000006,10,27376
E12000006,11,51950
E12000006,12,48880
E12000006,13,4972149
E12000006,14,57964
E12000006,15,8977
E12000006,16,9675
E12000006,17,429599
E12000006,18,15639
E12000006,19,70593
E12000007,-8,0
E12000007,1,322054
E12000007,2,147520
E12000007,3,656272
E12000007,4,290549
E12000007,5,401245
E12000007,6,697054
E12000007,7,345405
E12000007,8,145911
E12000007,9,125188
E12000007,10,77341
E12000007,11,132555
E12000007,12,170691
E12000007,13,3239281
E12000007,14,156333
E12000007,15,7031
E12000007,16,37689
E12000007,17,1290838
E12000007,18,139791
E12000007,19,416977
E12000008,-8,0
E12000008,1,39881
E12000008,2,64329
E12000008,3,241537
E12000008,4,145311
E12000008,5,159487
E12000008,6,150540
E12000008,7,43523
E12000008,8,27521
E12000008,9,88106
E12000008,10,38633
E12000008,11,62087
E12000008,12,72045
E12000008,13,7315058
E12000008,14,78219
E12000008,15,16748
E12000008,16,12786
E12000008,17,586569
E12000008,18,29574
E12000008,19,106109
E12000009,-8,0
E12000009,1,12217
E12000009,2,26516
E12000009,3,58847
E12000009,4,17432
E12000009,5,44172
E12000009,6,43318
E12000009,7,17226
E12000009,8,9070
E12000009,9,34960
E12000009,10,15644
E12000009,11,33217
E12000009,12,30253
E12000009,13,5008149
E12000009,14,31698
E12000009,15,6382
E12000009,16,5785
E12000009,17,257594
E12000009,18,10302
E12000009,19,38404
W92000004,-8,0
W92000004,1,15314
W92000004,2,14454
W92000004,3,21070
W92000004,4,17534
W92000004,5,20656
W92000004,6,19907
W92000004,7,3700
W92000004,8,3947
W92000004,9,14035
W92000004,10,8068
W92000004,11,13732
W92000004,12,12763
W92000004,13,2814247
W92000004,14,13214
W92000004,15,3550
W92000004,16,1843
W92000004,17,82994
W92000004,18,11641
W92000004,19,14825
